,0,1
0,0,-0.004628258824348449
1,1,-0.006016037654876709
2,2,-0.006016038560867417
3,3,-0.0064910962104798445
4,4,-0.006491114246970682
5,5,-0.006579976602024106
6,6,-0.007567184443897276
7,7,-0.007949924257150558
8,8,-0.007955134072885556
9,9,-0.008133221798003359
10,10,-0.010441553159416361
11,11,-0.010536866786689206
12,12,-0.010981811185818804
13,13,-0.011503003763300074
14,14,-0.011944323848825588
15,15,-0.011947459528650796
16,16,-0.011947491894347621
17,17,-0.01266760011793769
18,18,-0.012709170306042796
19,19,-0.012717537991154966
20,20,-0.013289741089019952
21,21,-0.0133095869302396
22,22,-0.01372787211124043
23,23,-0.013740382381306988
24,24,-0.013741267940162942
25,25,-0.013782813238113449
26,26,-0.018883243577688263
27,27,-0.020698570053785368
28,28,-0.023475585230200813
29,29,-0.023533174457534476
30,30,-0.023533907812481193
31,31,-0.023594084377979305
32,32,-0.02360715700229295
33,33,-0.02399900918034502
34,34,-0.02447191494619139
35,35,-0.02601206287806519
36,36,-0.030278110844545444
37,37,-0.03178659301465042
38,38,-0.03546593948667534
39,39,-0.03941802188222893
40,40,-0.04097493026321419
41,41,-0.051168576169662555
42,42,-0.05532732713287362
43,43,-0.05714886828129777
44,44,-0.058799707011036956
45,45,-0.0626664738929797
46,46,-0.06681393662457952
47,47,-0.07105311120515355
48,48,-0.07273045632009992
49,49,-0.0826465023017455
50,50,-0.08436289892559537
51,51,-0.08596507193212995
52,52,-0.09024287311201581
53,53,-0.09485765748386868
54,54,-0.09661646822457799
55,55,-0.10081462806826123
56,56,-0.10518415792351254
57,57,-0.1094537149882842
58,58,-0.11818447237377652
59,59,-0.12240608767633923
60,60,-0.12404371608858594
61,61,-0.12836179464226255
62,62,-0.13265560133820065
63,63,-0.13708377108936795
64,64,-0.14081541104083548
65,65,-0.14454503366117963
66,66,-0.14827584574287422
67,67,-0.14883842647289522
68,68,-0.14981116598611363
69,69,-0.15034541284022518
70,70,-0.15083003544238993
71,71,-0.15130803697881887
72,72,-0.1548738404604573
73,73,-0.15874922475246378
74,74,-0.16320327802328058
75,75,-0.1642982526752133
76,76,-0.16717940558520744
77,77,-0.1681179473998923
78,78,-0.16911926584569403
79,79,-0.17124716372517534
80,80,-0.17452588347522208
81,81,-0.17831367249218413
82,82,-0.179818564555325
83,83,-0.1806897674235482
84,84,-0.18417210822133012
85,85,-0.18835803177980373
86,86,-0.19245062742260882
87,87,-0.19609915806380698
88,88,-0.19672367538837382
89,89,-0.19908403806266972
90,90,-0.20166152205643842
91,91,-0.20247437904653734
92,92,-0.20772145319608634
93,93,-0.20901740769771524
94,94,-0.21199038713602011
95,95,-0.21338983060745187
96,96,-0.21607659036246724
97,97,-0.21918342997459359
98,98,-0.22246159240333027
99,99,-0.22576814125803893
100,100,-0.22870864883092826
101,101,-0.22951733284024184
102,102,-0.22994616786492653
103,103,-0.2310228538173217
104,104,-0.231904104860403
105,105,-0.23250785731700843
106,106,-0.2345164673614282
107,107,-0.23570244242725558
108,108,-0.23601264408556408
109,109,-0.2442164286660928
110,110,-0.24747755996463483
111,111,-0.2515217650013942
112,112,-0.2533032998579521
113,113,-0.25665597215471453
114,114,-0.2608431518989581
115,115,-0.2647713447469253
116,116,-0.2662974200683612
117,117,-0.2690429779726047
118,118,-0.27034396385876125
119,119,-0.27095627753166146
120,120,-0.2725873440931518
121,121,-0.2763043739388663
122,122,-0.27912025466663426
123,123,-0.2798373092452962
124,124,-0.28278026829166003
125,125,-0.28378072260422293
126,126,-0.2851461991260726
127,127,-0.2860326546768624
128,128,-0.2869003091464717
129,129,-0.29213882479918785
130,130,-0.29315767824602906
131,131,-0.2976680263142068
132,132,-0.29857620315653866
133,133,-0.3004942808519084
134,134,-0.30147922799093313
135,135,-0.3022557482163388
136,136,-0.30489547644508663
137,137,-0.30802529696179215
138,138,-0.3119362755651552
139,139,-0.3126061561341364
140,140,-0.31398360161436384
141,141,-0.3148700233089704
142,142,-0.317661378582098
143,143,-0.3189669587659616
144,144,-0.31968857805607503
145,145,-0.3223346991556663
146,146,-0.3233193385350484
147,147,-0.323818098692872
148,148,-0.32697290716645905
149,149,-0.3334326442944784
150,150,-0.3348286138522405
151,151,-0.34368193107125944
152,152,-0.34810575295565316
153,153,-0.3491065414356965
154,154,-0.35010699302432724
155,155,-0.35126452587721535
156,156,-0.35458948959586806
157,157,-0.3574757008421201
158,158,-0.3587153709220666
159,159,-0.3618450635659475
160,160,-0.3633933840083856
161,161,-0.3674497861492414
162,162,-0.3710090965139646
163,163,-0.37960828871009533
164,164,-0.3861766694414396
165,165,-0.38934846233604137
166,166,-0.3979779723751325
167,167,-0.39923475306508727
168,168,-0.4004957201051492
169,169,-0.4099105011510629
170,170,-0.41374764026878064
171,171,-0.42284172282097526
172,172,-0.43191964790699666
173,173,-0.4363185576426763
174,174,-0.4380378485369462
175,175,-0.4416816315817613
176,176,-0.4489078646528501
177,177,-0.4532311732637662
178,178,-0.45692843814966866
179,179,-0.45793203273890204
180,180,-0.4593249722647447
181,181,-0.4644041103887338
182,182,-0.4678272225367803
183,183,-0.4693777650642175
184,184,-0.477443901257493
185,185,-0.48144850773689934
186,186,-0.48321911852238364
187,187,-0.484666645218708
188,188,-0.48577958868322557
189,189,-0.48604184602824635
190,190,-0.48890419307378713
191,191,-0.49301722233621065
192,192,-0.49429918997613376
193,193,-0.4979941951814074
194,194,-0.50437777985362
195,195,-0.5113807820859332
196,196,-0.5200225097241777
197,197,-0.524254311490335
198,198,-0.5317147647562404
199,199,-0.5333132939579863
200,200,-0.5404784974697012
201,201,-0.5441909347596544
